,Winner,Loser,Winner_Str,Loser_Str,Winner_Td,Loser_Td,Winner_Sub_Attempt,Loser_Sub_Attempt,Weight_class,Method,METHOD,Time,Round
9,Hannah Cifers,Jodie Esquibel,70,43,1,3,1,0,Women's Strawweight,U-DEC,1,5:00,3
10,Kyung Ho Kang,Brandon Davis,50,77,3,1,0,0,Bantamweight,S-DEC,1,5:00,3
11,Sabina Mazo,Shana Dobson,108,33,4,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
0,Valentina Shevchenko,Liz Carmouche,42,18,1,0,0,0,Women's Flyweight,U-DEC,1,5:00,5
1,Vicente Luque,Mike Perry,84,87,0,0,1,0,Welterweight,S-DEC,1,5:00,3
2,Eduardo Garagorri,Humberto Bandenay,65,32,1,4,0,0,Featherweight,U-DEC,1,5:00,3
3,Volkan Oezdemir,Ilir Latifi,64,18,0,1,0,0,Light Heavyweight,KO/TKO  Punch,2,4:31,2
4,Rodolfo Vieira,Oskar Piechota,18,22,3,0,1,0,Middleweight,SUB  Arm Triangle,3,4:26,2
5,Enrique Barzola,Bobby Moffett,83,90,3,0,0,0,Featherweight,S-DEC,1,5:00,3
6,Gilbert Burns,Aleksei Kunchenko,42,47,3,0,0,0,Welterweight,U-DEC,1,5:00,3
7,Ciryl Gane,Raphael Pessoa,15,7,0,0,1,0,Heavyweight,SUB  Arm Triangle,3,4:12,1
8,Marina Rodriguez,Tecia Torres,84,41,1,0,1,0,Women's Strawweight,U-DEC,1,5:00,3
9,Rogerio Bontorin,Raulian Paiva,8,3,2,0,0,0,Flyweight,KO/TKO,2,2:56,1
10,Chris Gutierrez,Geraldo de Freitas,48,40,1,2,0,0,Bantamweight,S-DEC,1,5:00,3
11,Alex Da Silva,Kazula Vargas,17,20,3,0,0,0,Lightweight,U-DEC,1,5:00,3
12,Veronica Macedo,Polyana Viana,1,1,0,1,1,0,Women's Flyweight,SUB  Armbar,3,1:09,1
0,Colby Covington,Robbie Lawler,179,78,10,0,0,0,Welterweight,U-DEC,1,5:00,5
1,Jim Miller,Clay Guida,2,2,0,0,1,0,Lightweight,SUB  Guillotine Choke,3,0:58,1
2,Nasrat Haqparast,Joaquim Silva,21,15,0,0,0,0,Lightweight,KO/TKO  Punch,2,0:36,2
3,Gerald Meerschaert,Trevin Giles,6,8,1,1,1,0,Middleweight,SUB  Guillotine Choke,3,1:49,3
4,Scott Holtzman,Dong Hyun Ma,44,16,1,1,0,0,Lightweight,KO/TKO,2,5:00,2
5,Kennedy Nzechukwu,Darko Stosic,50,60,0,4,0,0,Light Heavyweight,U-DEC,1,5:00,3
6,Mickey Gall,Salim Touahri,50,48,1,0,0,0,Welterweight,U-DEC,1,5:00,3
7,Antonina Shevchenko,Lucie Pudilova,16,6,0,1,3,0,Women's Flyweight,SUB  Rear Naked Choke,3,1:20,2
8,Matt Schnell,Jordan Espinosa,3,5,0,0,1,0,Flyweight,SUB  Triangle Choke,3,1:23,1
9,Lauren Murphy,Mara Romero Borella,24,22,0,1,0,0,Women's Flyweight,KO/TKO  Knee,2,1:46,3
